,0
16,"Black sexual minority men who have sex with men (MSM) in the United States are at disparate risk for contracting HIV infection, but pre-exposure prophylaxis (PrEP) use is suboptimal. Social network methods were used to recruit a community sample of racial minority MSM and transgender women (TGW) in two Midwestern US cities. 250 PrEP-eligible (HIV-negative) participants completed measures assessing current and intended PrEP use; demographic characteristics; PrEP knowledge, attitudes, norms, stigma, and self-efficacy; and structural barriers to PrEP. Multivariate analyses established predictors of current and intended PrEP use. Only 12% of participants reported currently using PrEP, which was associated with greater PrEP knowledge and not having a main partner, with trends for greater PrEP use by younger participants and those with partners living with HIV. Among participants not currently on PrEP, strength of PrEP use intentions was associated with higher PrEP knowledge, PrEP descriptive social norms, and PrEP use self-efficacy. This study is among few to directly compare Black who have adopted PrEP with those who have not. Its findings underscore the potential benefits of employing social network approaches for strengthening PrEP use peer norms, increasing PrEP knowledge and self-efficacy, and optimizing PrEP uptake among racial minority MSM and TGW."
17,Treatment guidelines for gender-affirming hormone therapy with estrogen (GAHT-E) recommend specific dosing regimens based on limited data. Well-controlled efficacy trials are essential to tailoring treatment to patient goals as the guidelines recommend. The goal of this study was to take a foundational step toward designing community-centered effectiveness trials for gender-diverse individuals seeking GAHT-E.
18,Treatment guidelines for gender-affirming hormone therapy with estrogen (GAHT-E) recommend specific dosing regimens based on limited data. Well-controlled efficacy trials are essential to tailoring treatment to patient goals as the guidelines recommend. The goal of this study was to take a foundational step toward designing community-centered effectiveness trials for gender-diverse individuals seeking GAHT-E.
19,"Hopelessness is a key risk factor for suicide. This analysis explored whether hopelessness indicates a recent suicide crisis state and is linked with magnetoencephalography (MEG) oscillatory power and effective connectivity differences. Change in hopelessness ratings and effective connectivity post-ketamine were also evaluated in a subsample of high-risk individuals to evaluate correlates of dynamic changes over time. Participants (66F;44 M;1 transgender) included individuals with suicide crisis in the last two weeks (High Risk (HR), n = 14), those with past suicide attempt but no recent suicide ideation (SI) (Low Risk (LR), n = 37), clinical controls (CC, n = 33), and healthy volunteers at minimal risk (MinR, n = 27). MEG oscillatory power and clinical hopelessness ratings (via the Beck Hopelessness Scale (BHS)) were evaluated across groups. Dynamic casual modeling (DCM) evaluated connectivity within and between the anterior insula (AI) and anterior cingulate cortex (ACC). A subsample of HR individuals who received ketamine (n = 10) were evaluated at Day 1 post-infusion. The HR group reported the highest levels of hopelessness, even when adjusting for SI. MEG results linked hopelessness with reduced activity across frequency bands in salience network regions, with no group or group-by-interaction effects. Using DCM, the HR group had reduced intrinsic drive from granular Layer IV stellate cells to superficial pyramidal cells in the ACC and AI. In the pilot HR study, reduced hopelessness was linked with increased drive for this same connection post-ketamine. Hopelessness is a possible proxy for suicide risk. Electrophysiological targets for hopelessness include widespread reductions in salience network activity, particularly in the ACC and AI."
20,"Transgender young adults (TYA) are burdened by adverse mental health outcomes. Guided by intersectionality and minority stress frameworks, we compared prevalence of psychological distress and suicidality among TYA of different social identities to inform future interventions."
21,"Current eating disorder treatment approaches for youth were developed for use with cisgender girls, which limits the understanding of effectiveness for cisgender boys and transgender and gender expansive (TGE) youth. Here, we compare treatment outcomes for cisgender boys and TGE youth with cisgender girls receiving family-based treatment for an eating disorder."
22,"Adverse childhood experiences (ACEs) consist of instances of abuse, neglect, or household dysfunction occurring before adulthood. Prevalence rates of ACEs are higher among specific populations, including gender minorities. In addition to ACEs, transgender individuals (TG) face many personal, social, and structural factors that have the potential to negatively impact their physical health."
23,"Despite federally mandated collection of sex and gender demographics in the electronic health record (EHR), longitudinal assessments are lacking. We assessed sex and gender demographic field utilization using EHR metadata."
24,"This exploratory qualitative study sought to better understand the experiences of Two-Spirit, lesbian, gay, bisexual, transgender, queer (2SLGBTQ+) disabled people when learning about sexuality, sexual orientation, and gender identity. We conducted 31 semi-structured, in-depth interviews with adults labeled/with developmental and intellectual disabilities in Alberta, Canada. Findings showed a significant lack of comprehensive sex education available to 2SLGBTQ+ disabled people. Sexual and gender identities were rarely discussed in formal school-based education settings and most parents and caregivers did not feel comfortable addressing these topics either. As a result, many participants had to do their own research and use other sources for information and advice. Participants then provided recommendations in terms of what they wish they had learned in sex education as well as potentially effective ways of delivering that content to disabled people."
25,"Research shows that LGBTQ workers make strategic decisions about whether to disclose their sexual and gender identities to their colleagues as they assess potential costs and benefits. The present study sought to extend this literature by examining how they plan their identity disclosure in future workplace interactions and why they may diverge from their initial intentions. The analysis used longitudinal data from in-depth interviews, in which young LGBTQ workers reported disclosure intentions and their outcomes two years later. Participants often expressed intentions to disclose their LGBTQ identities while emphasizing the importance of identity disclosure for self-authenticity and the LGBTQ community's visibility. Sometime over the course of the study, however, a substantial number of participants did not carry out their intentions because of unanticipated workplace constraints such as a lack of opportunities for personal conversations, an expectation for professionalism, and an absence of LGBTQ colleagues. However, participants who diverged from their initial disclosure intentions maintained an identity as an open LGBTQ person by emphasizing their willingness for disclosure."
26,"Transgender, non-binary, and gender diverse people face discrimination and barriers to accessing health care. Existing evidence suggests higher rates of mental health conditions among these groups compared with binary and cisgender groups. However, information is limited by poor gender recording in health records and surveys. We aimed to provide the first national estimates of gender-related inequalities in self-reported mental health conditions and mental health support across 15 gender groups in England."
27,"Diversity, equity, and inclusion (DEI) training is essential to graduate medical education, but it lacks standardization. Although the impact of providers' biases and cultural competency on patient outcomes is well documented, the value of and satisfaction with DEI curricula in Pediatrics residency training programs is not well studied. This study aimed to complete a cross-sectional evaluation of the current DEI curriculum at a large Pediatrics-focused academic institution and identify areas of perceived deficiency among Pediatrics trainees."
28,"The aim of the present study was to develop and validate a patient-reported outcome measure for gender incongruence specific to voice and communication parameters, including pitch, intonation, resonance, loudness, speech smoothness, speech clarity, word choice, facial expression, gesture, and posture."
29,"This paper critically analyses three main neurobiological hypotheses on trans* identities: the neurobiological theory about the origin of gender dysphoria, the neurodevelopmental cortical hypothesis, and the alternative hypothesis of self-referential thinking and body perception. In this study I focus then the attention on three elements: the issue of (de)pathologisation, the idea of the trans brain, and the aetiology of trans* identities. While the neurobiological theory about the origin of gender dysphoria and the neurodevelopmental cortical hypothesis claim the existence of the trans brain, each offering its own neurobiological depiction, the hypothesis of self-referential thinking and body perception doesn't postulate a distinctive neurobiological trait for all trans* people. I problematize both portrayals of the trans brain departing from the findings and conceptualizations of the paradigm shifting brain mosaicism. Unlike the hypothesis of self-referential thinking and body perception that keeps the question of causation open, both the neurobiological theory about the origin of gender dysphoria and the neurodevelopmental cortical hypothesis situate the origin of trans* identities in the neurobiological domain. I challenge the biological deterministic framework in which this aetiology is inscribed from a dynamic processual entanglement perspective. Finally, concerning the issue of (de)pathologisation of trans* identities, an evolution can be seen in each of the hypothesis and among them, from the least to the most depathologising. However, I question their complete departure from a pathologising framework."
30,"Sex determination in forensic medicine is considered one of the first and foremost steps in personal identification. The need for identifying the exact sex of the individual arises when deciding whether a person can exercise certain civil rights reserved for one particular sex, for competing in sex-specific athletic and sports events, legitimacy, divorce, paternity disputes and also to some criminal offenses. Nuclear sexing by Barr body examination can be done using buccal smears to establish the sex of the individual when routine methods fail to disclose the exact gender of the individual."
31,Barriers exist in access to primary care as well as specialty healthcare such as gender-affirming care. Understanding the referral sources used to identify new providers for these types of care can help healthcare systems facilitate access.
32,"The law has slowly recognised the concept of a transgender person. After initially fixating on someone's physical birth gender, it has now accepted the concept of gender identity. It has been challenged by young people experiencing gender dysphoria seeking medical treatment. Though in recent years it has increasingly accepted the right of such a person to access appropriate treatment, this article suggests further improvements in this area of the law are desirable, including no longer making the distinction between therapeutic and non-therapeutic treatment, reforming the extent of judicial power in this context, and according greater autonomy to mature young people."
33,Hormone therapy in transgender people might be associated with an increased risk of cardiovascular disease (CVD). We aimed to investigate whether the risk of CVD is increased in transgender people compared with people of the same birth sex.
34,"Children and young people experience delays in assessment and/or treatment within mental health services. The objective of this systematic review, funded by the Emerging Minds Network, was to explore the current evidence base for mental health waiting list interventions to support children and young people."
35,"To evaluate and correlate the risk of dysphonia, the presence of vocal changes and their associated factors, and the vocal self-perception of transgender women."
36,"Oocyte donation has greatly expanded in the past several decades since the first procedure was performed in 1983. According to the Centers for Disease Control, the number of cycles using donor oocytes increased from 18,011 cycles in 2010 to 27,131 cycles in 2019. Oocyte donation has become an important reproductive option for women with diminished ovarian reserve, recurrent failed in vitro fertilization, or heritable genetic conditions. It is also particularly important for single men, same-sex male couples, and men with a transgender woman partner. More recently, societal changes accompanying the expansion of social media and broader access to direct-to-consumer DNA testing have raised concerns about privacy and anonymity. In this article, we review two specific aspects of donor privacy: privacy related to personal identifiers provided by clinics or donor egg bank websites and privacy related to direct-to-consumer genetic testing. We also provide clinical recommendations specific to the United States for working with oocyte donors and donor oocyte recipients."
37,"Our study examined factors associated with transgender and gender diverse (""trans"") people's experience of sexual coercion, as well as the factors associated with help-seeking and wellbeing among victims/survivors.  We analyzed cross-sectional data from the first Australian Trans and Gender Diverse Sexual Health Survey, conducted in 2018. Logistic regressions were undertaken to identify factors associated with sexual coercion, help-seeking, and wellbeing.  Of the sample of 1448 participants, 53.4% had been sexually coerced, which was associated with older age, Aboriginal or Torres Strait Islander descent, nonbinary gender, being presumed female gender at birth, currently living publicly some or all the time as their affirmed gender, having regular sex, and use of drugs to enhance or alter sexual experiences. Protective factors included having a higher income and access to gender affirming care. Help-seeking was reported among 49.5% of victims/survivors and was associated with having more trans friends. Wellbeing among victims/survivors was associated with being older, residing in regional/remote areas, having higher levels of education and annual income, being presumed female gender at birth, having stronger satisfaction with one's sex life, and good health care access. Wellbeing was not associated with help-seeking.  Sexual coercion was prevalent among participants, but help-seeking behavior was low. Protective factors identified underscore the importance of socioeconomic supports, access to health and gender affirming care, and peers. Accessible peer-led and culturally safe preventive and trauma-focused supports should also be considered for trans people who experience sexual coercion."
38,"We explored correlates of cannabis risk and examined differences between sexual and gender minority (SGM) and cisgender heterosexual emerging adults (ages 18-29) in California.  We recruited 1491 participants aged 18-29 years for a cross-sectional online survey. Ordinal logistic regressions assessed associations between minority stress (discrimination and internalized homophobia [IH]), social support (perceived social support and lesbian, gay, bisexual, transgender, and queer+ [LGBTQ+] community connectedness), and cannabis risk scores (low, medium, and high risk of developing problems related to their cannabis use). We also explored differences in cannabis risk scores by sexual orientation and gender identity (SOGI).  Higher everyday discrimination scores were associated with increased odds of self-scoring in a higher cannabis risk range (adjusted odds ratio = 1.53, 95% confidence interval [CI] = 1.31-1.79). We found no significant associations for IH, LGBTQ+ community connectedness, or social support on cannabis risk scores. There were also no statistically significant differences by SOGI groups; however, SOGI did moderate the relationship between IH and cannabis risk score such that the slope for IH was 0.43 units higher for cisgender sexual minority women compared to cisgender sexual minority men (95% CI = 0.05-0.81).  Our findings suggest that experiences of everyday discrimination are important contributors to developing cannabis-related problems and IH may have more pronounced effects for sexual minority women compared to sexual minority men. More research is needed to better understand risk and protective factors of cannabis risk to inform the development of culturally tailored interventions for SGM emerging adults."
39,"The ""one-liner,"" commonly used in clinical communications, summarizes a patient's identity, presenting condition, medical history, and clinical findings. Imprecise, inconsistent use of gender and sex information in one-liners threatens the provision of affirming care to transgender, nonbinary, gender-expansive, and intersex patients and may exacerbate health care disparities. This study aimed to generate guidance for communicating gender and sex information in one-liners.  This is an explanatory sequential, equal status mixed methods study of transgender, nonbinary, gender-expansive, and intersex people and clinicians caring for this population. Survey participants rated one-liners on a five-point Likert-type scale of appropriateness, considering affirmation and clinical utility, and provided open-ended comments. We conducted two focus groups with survey respondents to explore survey results and performed a thematic analysis of survey comments and focus group transcripts.  Survey respondents included 57 clinicians and 80 nonclinicians. One-liners containing patient pronouns were rated most appropriate, and appropriate patient descriptors included self-described gender identity or gender-neutral terms. In scenarios where patient sex information was not pertinent to the chief concern (CC), one-liners containing no sex information were rated most appropriate. Four themes were identified: inclusion of sex information based on relevance to the CC, accurate patient representation, influence of clinical setting, and risk of harm from inaccurate one-liners.  This study generated data to support the appropriate use of gender and sex language in one-liners. Clinicians, educators, and trainees may use these findings to compose one-liners that are affirming and clinically useful for patients of diverse gender and sex identities."
40,"This article introduces the multidimensional properties of social connectedness among sexual and gender minority (SGM) midlife and older adults and examines the relationship between these properties and general health. Data were analyzed from Aging With Pride: National, Aging, and Sexuality/Gender Study, including 2,450 SGM adults aged 50 and older in the United States. The structure, function, and quality of interpersonal relations as well as community-level activities and engagement were measured through a self-administered survey and an in-person interview. Findings indicated that SGM midlife and older adults, on average, had a large social network with high bridging potential and low density, consisting of more nonrelative family members than immediate family members. They also showed frequent availability of social support, moderate or higher satisfaction with interpersonal relations, and moderate SGM community engagement. Properties of social connectedness differed by gender, sexual identity, and gender identity, with SGM men, sexually diverse women, and transgender people showing distinct challenges in interpersonal relations. All aspects of social connectedness were positively associated with good general health, particularly network diversity, outdoor leisure activity engagement, and access to health-related decision support, controlling for age and chronic conditions. Care receiving and loneliness were negatively associated with good general health. Intervention development can target these factors to promote social and community connectivity and reduce the negative health effects of persistent social stressors. This study underscores the necessity of addressing all facets (i.e., structure, function, and quality) of interpersonal relations encompassing both immediate and chosen family as well as community-level social connectedness. (PsycInfo Database Record (c) 2024 APA, all rights reserved)."
41,"While it is common for menstrual cycles to cease within the initial 6 months of treatment, there are instances where some transgender men may not experience this cessation. We analyzed transgender men undergoing gender-affirming hormone therapy (GAHT) with testosterone who experienced breakthrough bleeding in order to identify the factors associated with this condition."
42,"While it is common for menstrual cycles to cease within the initial 6 months of treatment, there are instances where some transgender men may not experience this cessation. We analyzed transgender men undergoing gender-affirming hormone therapy (GAHT) with testosterone who experienced breakthrough bleeding in order to identify the factors associated with this condition."
43,Population-based estimates of syphilis prevalence are critical to informing public health response. We aimed to measure syphilis prevalence among Venezuelan refugees and migrants in Colombia to inform public health programming.
44,"The International Anal Neoplasia Society (IANS) developed consensus guidelines to inform anal cancer screening use among various high-risk groups. Anal cancer incidence estimates by age among risk groups provided the basis to identify risk thresholds to recommend screening. Guided by risk thresholds, screening initiation at age 35 years was recommended for men who have sex with men (MSM) and transgender women (TW) with HIV. For other people with HIV and MSM and TW not with HIV, screening initiation at age 45 years was recommended. For solid organ transplant recipients, screening initiation beginning from 10 years post-transplant was recommended. For persons with a history of vulvar precancer or cancer, screening initiation was recommended starting within 1 year of diagnosis of vulvar precancer or cancer. Persons aged ≥45 years with a history of cervical/vaginal HSIL or cancer, perianal warts, persistent (>1 year) cervical HPV16, or autoimmune conditions could be considered for screening with shared decision-making, provided there is adequate capacity to perform diagnostic procedures (high-resolution anoscopy [HRA]). Anal cytology, high-risk (hr) human papillomavirus (HPV) testing (including genotyping for HPV16), and hrHPV-cytology co-testing are different strategies currently used for anal cancer screening that show acceptable performance. Thresholds for referral for HRA or follow-up screening tests are delineated. These recommendations from IANS provide the basis to inform management of abnormal screening results, considering currently available screening tools. These guidelines provide a pivotal foundation to help generate consensus among providers and inform the introduction and implementation of risk-targeted screening for anal cancer prevention."
45,"The International Anal Neoplasia Society (IANS) developed consensus guidelines to inform anal cancer screening use among various high-risk groups. Anal cancer incidence estimates by age among risk groups provided the basis to identify risk thresholds to recommend screening. Guided by risk thresholds, screening initiation at age 35 years was recommended for men who have sex with men (MSM) and transgender women (TW) with HIV. For other people with HIV and MSM and TW not with HIV, screening initiation at age 45 years was recommended. For solid organ transplant recipients, screening initiation beginning from 10 years post-transplant was recommended. For persons with a history of vulvar precancer or cancer, screening initiation was recommended starting within 1 year of diagnosis of vulvar precancer or cancer. Persons aged ≥45 years with a history of cervical/vaginal HSIL or cancer, perianal warts, persistent (>1 year) cervical HPV16, or autoimmune conditions could be considered for screening with shared decision-making, provided there is adequate capacity to perform diagnostic procedures (high-resolution anoscopy [HRA]). Anal cytology, high-risk (hr) human papillomavirus (HPV) testing (including genotyping for HPV16), and hrHPV-cytology co-testing are different strategies currently used for anal cancer screening that show acceptable performance. Thresholds for referral for HRA or follow-up screening tests are delineated. These recommendations from IANS provide the basis to inform management of abnormal screening results, considering currently available screening tools. These guidelines provide a pivotal foundation to help generate consensus among providers and inform the introduction and implementation of risk-targeted screening for anal cancer prevention."
46,"America has experienced a rapid increase in loneliness, substance use, and suicidality. This increase is particularly deleterious for Veterans, who, as compared to nonmilitary-connected civilians, experience elevated rates of loneliness, substance use, and suicidality. In this project we investigated the link between loneliness, substance use, and suicidality, paying particular attention to the mediational role of loneliness between substance use and suicidality. 1,469 Veterans (male,  = 1004, 67.2%; female,  = 457, 32.3%; transgender/non-binary/prefer not to say,  = 8, 0.5%) answered online surveys in the Mental Health and Well-Being Project. Items assessed participants on psychosocial antecedents of health and wellness. Pearson correlations and mediational models were used to determine if loneliness, substance use, and suicidality were related and if loneliness mediated the link between substance use and suicidality. Results indicated that loneliness, substance use, and suicidality were significantly and positively related (s = .33-.42, s < .01). Additionally, loneliness partially mediated the link between substance use and suicidality ( = .08 [.06-.10]), suggesting that, within the context of substance use in Veterans, loneliness may account for significant variance in suicidality. Together findings suggest the Veterans Health Administration should support, fund, and study community engagement activities that could reduce the development or intensity of substance use, loneliness, and suicidality in Veterans."
47,Limited literature exists examining the effects of gender-affirming mastectomy on transmasculine and nonbinary patients that is prospective and uses validated survey instruments.
48,Transgender and gender diverse (TGD) individuals and long-term survivors with adult congenital heart disease (ACHD) are both growing populations with specialized needs. No studies assess temporal trends or evaluate the care of TGD individuals with ACHD.
49,"Fertility preservation (FP) involves the cryopreservation of gametes, embryos, and/or gonadal tissue oocytes, for future use in family building. FP as part of a comprehensive approach to care of transgender and gender diverse (TGD) individuals is an understudied topic. Current evidence indicates that gender affirming therapies may increase the risk for infertility. As a result, TGD individuals, including adolescents, should receive counseling regarding FP prior to beginning gender affirming treatment. Many barriers exist to TGD adolescents receiving FP counseling and undergoing FP if desired. The objective of this narrative review is to summarize the literature regarding the desire for FP in TGD adolescents, the barriers to TGD adolescents in accessing of FP, and to discuss potential interventions for alleviation of such barriers. A literature search using the following Medical Subject Headings search terms: 'transgender persons' and 'fertility preservation' and 'adolescents' was conducted  searching PubMed. Additional articles were located  reference review. Included articles consist of qualitative and quantitative research and society guidelines. Articles from inception to 1st July 2023 were included. The results of the literature search have been summarized into the format of a narrative review. Key barriers to FP for TGD adolescents include inconsistencies in form and timing of counseling, potential worsening of gender dysphoria with FP treatment, high cost of treatment, limited research on FP outcomes, and legal barriers. Intersectionality between gender identity and other forms of minority status can compound these barriers to FP and healthcare in general. Barriers to TGD adolescents accessing FP are significant. Increased research is needed upon methods to mitigate these barriers. Solutions include increasing uniformity and timing of FP counseling by varying health care providers, advocacy efforts to mitigate legal and financial barriers, increased research efforts in FP outcomes, and increased cultural competency in clinics offering FP care to TGD adolescents."
50,"In the context of body image and mental health, transgender individuals face distinctive challenges stemming from the complexities of their gender identity journey, societal expectations, and body norms. However, the existing line of research on this topic remains limited. This study explores the complex relationship in transgender individuals between body objectification, body weight dissatisfaction, and eating concerns. A sample of 154 individuals (77 transgenders paired with 77 cisgenders) was recruited via LGBTQ+ groups' mailing lists. Participants completed various questionnaires assessing body image, eating psychopathology, depression, and body objectification. Propensity score matching was performed with different variables: age, current BMI, years of education, current self-identified gender, and sexual orientation. The results revealed that transgender individuals experienced higher levels of body objectification, body weight dissatisfaction, and eating concerns compared to their cisgender counterparts. Additionally, age emerged as a protective factor, as older transgender individuals demonstrated improved body acceptance and self-esteem. Logistic regression analyzes indicated that bulimic behaviors, depressive symptoms, and appearance control beliefs were specific factors significantly associated with being transgender. Our findings highlight the unique challenges faced by transgender individuals in navigating their gender identity and body image, underscoring the importance of targeted interventions and support systems."
51,"Prevalence and patterns of alcohol and other drug (AOD) use among specific lesbian, gay, bisexual, transgender (trans) and queer (LGBTQ+) subpopulations are well established. However, patterns of substance-related risk have been less thoroughly explored. This study aimed to determine typologies AOD risk among LGBTQ+ adults in Australia."
52,"Rates of suicidality and self-harm are substantial among trans and gender diverse people, particularly among younger groups. The objective of this scoping review is to explore the state of the research conducted on determinants of mental distress, self-harm and suicidality among trans and gender diverse (TGD) youth from culturally and linguistically diverse (CALD) backgrounds. The Joanna Briggs Institute methodology for scoping reviews was used as a methodology guide. Inclusion criteria for study selection comprehended: publications on the intersectionality between gender non-conformity and cultural and linguistic diversity; focus on a young population (≤25 years of age); publications addressing self-harm and/or suicidality. Searches were conducted on eight databases and a public web search engine and yielded 474 results. Publications were screened and selected by two independent reviewers. Thematic analysis was used to identify key themes overarching the findings. The screening process yielded seven peer-reviewed studies and six research reports based on case studies, retrospective qualitative interviews, cross-sectional and longitudinal survey analyses. The key themes approached in the retrieved literature include: (1) precipitating factors for suicidality; (2) pathways contributing to self-harm and suicidality; and 3) barriers and facilitators for accessing services and mental health care. Practical actions to help mitigate suicidality among TGD youth from CALD backgrounds need to consider the impact of trauma and allow for the development of trust in the therapeutic relationship. Shifts in service delivery and policy formulation are necessary to reduce stigmatisation and potentialise the inclusion of different racial, ethnic, cultural, sexual and gender identity expressions in society."
53,"Rates of suicidality and self-harm are substantial among trans and gender diverse people, particularly among younger groups. The objective of this scoping review is to explore the state of the research conducted on determinants of mental distress, self-harm and suicidality among trans and gender diverse (TGD) youth from culturally and linguistically diverse (CALD) backgrounds. The Joanna Briggs Institute methodology for scoping reviews was used as a methodology guide. Inclusion criteria for study selection comprehended: publications on the intersectionality between gender non-conformity and cultural and linguistic diversity; focus on a young population (≤25 years of age); publications addressing self-harm and/or suicidality. Searches were conducted on eight databases and a public web search engine and yielded 474 results. Publications were screened and selected by two independent reviewers. Thematic analysis was used to identify key themes overarching the findings. The screening process yielded seven peer-reviewed studies and six research reports based on case studies, retrospective qualitative interviews, cross-sectional and longitudinal survey analyses. The key themes approached in the retrieved literature include: (1) precipitating factors for suicidality; (2) pathways contributing to self-harm and suicidality; and 3) barriers and facilitators for accessing services and mental health care. Practical actions to help mitigate suicidality among TGD youth from CALD backgrounds need to consider the impact of trauma and allow for the development of trust in the therapeutic relationship. Shifts in service delivery and policy formulation are necessary to reduce stigmatisation and potentialise the inclusion of different racial, ethnic, cultural, sexual and gender identity expressions in society."
54,"Women are underrepresented in medicine and academic anesthesiology, and especially in leadership positions. We sought to characterize career achievement milestones of female versus male academic anesthesiology chairs to understand possible gender-related differences in pathways to leadership."
55,"Process-based quality measures are generally intended to promote evidence-based practices that have been proven to improve outcomes. However, due to lack of standardized implementation of diagnostic codes in dentistry, assessing the association between process and oral health outcomes has been challenging."
