,Author,Title,Headline,Label
41,None,The Transgender Suicide Scam,How do you get largely reluctant parents and a resistant American public generally to cooperate with transitioning kids Bring in legal penalties and state surveillance of course Not to go along will be discrimination and require i,TransYouth
42,AJ McDougall,Bible Bashing Ohio Lawmaker Suggests Critics of Her Anti Trans Bill Should Be Drowned,Maddie McGarvey The Washington Post via Getty Images The Ohio Republican behind a bill that would ban transgender students from using bathrooms aligned with their gender identity quoted scripture in justifying the legislation on Wednesday deploying a verse,TransYouth
43,Associated Press,Ohio is on the verge of becoming the nd state to restrict gender affirming care for adults,Ohio Gov Mike DeWine announced proposals that transgender advocates say could leave thousands of trans adults scrambling for treatment,TransYouth
44,Laura Harris,Ohio House of Representatives upholds trans surgery ban for minors overrides DeWine s veto,The Ohio House of Representatives has voted to uphold the state s transgender surgery ban for minors by overriding the veto of Republican Governor Mike DeWine House Bill which was vetoed on December received votes in favor and votes again,TransYouth
45,Melissa Gira Grant,Republicans Have a Sneaky New Plan to Ban Kids From Queer Content,The fairly routine ritual interrogation of tech CEOs before a congressional committee hearing took a swerve Wednesday when X formerly Twitter pledged its support for an online safety bill that would give Republicans another weapon in their assault on que,TransYouth
46,Joseph MacKinnon,Transvestite who wants puberty blockers as default option for kids joins other radicals on WHO task force,The World Health Organization a specialized agency of the U N still regarded by some to be an authority on health matters has assembled a task force to develop a guideline on the health of trans and gender diverse people Critics have blasted the WHO ov,TransYouth
47,Paul Sacca,New York Times warns of ideological extremism by transgender activists stresses detransitioners nightmare of gender affirming care as children,The New York Times published an article warning of the potential dangers of children undergoing so called gender affirming care The article cited several individuals who had detransitioned after realizing that puberty blockers and transition surgeries were,TransYouth
48,Victor Nava,Ohio Senate overrides Republican Gov Mike DeWine s veto of transgender bill,The Republican controlled Ohio Senate on Wednesday voted to override Gov Mike DeWine s veto of a bill outlawing gender changing services for minors and banning transgender athletes from participating in women s sports The override passed in a vote aft,TransYouth
49,None,Removed,None,TransYouth
50,Isabel Fattal,Can Netanyahu Outlast This War,A conversation with Yair Rosenberg about the prime minister s failures and what might be next for the Israeli government,TransYouth
51,Emi Tuyetnhi Tran,Heartstopper Lone Star and Baldur s Gate among GLAAD Media Award nominees,GLAAD s next round of media awards foreground stories on transgender and nonbinary youth amid a wave of anti LGBTQ bills being proposed across the nation,TransYouth
52,Jacob Grier,I Regret to Inform You That Marjorie Taylor Greene and Tucker Carlson Are Right About Those Viral Nicotine Pouches,Right wing posters defending the freedom of adults right to use Zyn have the better of the argument,TransYouth
53,Laura Harris,New Hampshire expected to BAN transgender surgeries for minors,New Hampshire s Republican Gov Chris Sununu is expected to sign the bill banning specific transgender related surgeries for minors Lawmakers in the state recently passed House Bill in a mostly party line vote of in favor to against HB now m,TransYouth
54,Katherine Hamilton Katherine Hamilton,W H O Will Not Craft Transgender Guidelines for Minors Due to Limited Evidence,The W H O will not craft transgender healthcare guidelines for minors citing limited evidence for longer term outcomes,TransYouth
55,Trudy Ring,Idaho s felony gender affirming care ban stays blocked,Idaho s ban on gender affirming care for trans minors which makes provision of the care a felony will remain blocked while a lawsuit against it proceeds a federal appeals court ruled Tuesday,TransYouth
56,Sheri Walsh,Ohio lawmakers override governor s veto to ban gender affirming care for minors,Ohio s state Senate voted Wednesday to override Gov Mike DeWine s veto of a bill restricting gender affirming health care for minors and banning,TransYouth
57,Tyler O Neil,Why Did Mike DeWine Rush to Ban Transgender Surgeries for Minors Week After Vetoing Similar Bill This Doctor Thinks He Knows,On Friday Ohio s Republican governor Mike DeWine issued an emergency executive order to ban sex reassignment surgeries for minors just one week after he vetoed a Read More The post Why Did Mike DeWine Rush to Ban Transgender Surgeries for Minors Wee,TransYouth
58,The Associated Press,Trans candidate facing disqualification now cleared to run despite omitting deadname,A transgender candidate vying for a seat in the Ohio House was cleared to run after her certification had been called into question for omitting her former name on qualifying petitions,TransYouth
59,Kelsey Walsh Nicholas Kerr Libby Cathey Gabriella Abdul Hakim,Chris Christie expected to end his presidential campaign Sources,Former New Jersey Gov Chris Christie is ending his presidential campaign against Trump,TransYouth
60,Tyler O Neil,Maine Bill Would Protect Kidnappers Who Take Transgender Kids From Non Affirming Parents for Gender Affirming Care,The Maine House of Representatives is considering a bill that would protect anyone who takes a child who identifies as transgender away from non affirming parents Read More The post Maine Bill Would Protect Kidnappers Who Take Transgender Kids From No,TransYouth
61,Megan Brock,EXCLUSIVE Trans Medical Org Speaker Blames Hate Groups Christian Nationalism For Backlash Against Child Sex Changes,A speaker at an educational event hosted by the world s leading transgender medical association blamed hate groups and right wing Christians for orchestrating bills designed to limit children s ability to receive sex change procedures according to a WPATH,TransYouth
62,The Associated Press,Civil rights group says N C public schools are harming LGBTQ students violating federal law,A civil rights group alleges that N C public schools are systematically marginalizing LGBTQ youth with new state laws that bar certain sex related instruction in early grades and limit athletic participation by trans students,TransYouth
63,Kate Anderson,Court Lifts Injunction on Alabama s Ban on Sex Change Surgeries for Minors,The th U S Circuit Court of Appeals has issued a temporary order to lift an injunction preventing an Alabama law banning sex change surgeries for minors Read More The post Court Lifts Injunction on Alabama s Ban on Sex Change Surgeries for Minors appear,TransYouth
64,Matt Lavietes,Transgender bathroom bills are back Does the nation care,A transgender bathroom ban in North Carolina caused a national uproar in but the public reaction to a similar passed in Utah Monday has been minimal,TransYouth
65,Alana Mastrangelo Alana Mastrangelo,W H O Picks Trans Activists to Set Global Child Rearing Rules Less than Half of Panel Has Medical Background,The United Nations healthcare agency the World Health Organization W H O has given transgender activists a majority of the seats in a panel that is drafting healthcare policies for children,TransYouth
66,Alice O Connor,I wish I could cheat Reigns Three Kingdoms like a Choose Your Own Adventure book,The two best parts of a Choose Your Own Adventure book are when you initially feel out the shape and paths at the start and then when you grow tired of dead ends and faff and just start cheating The same seems true for Reigns Three Kingdoms the latest in,TransYouth
67,Laura Hoge,A day in the life of working with trans youth Navigating the fallout of harmful media coverage,As a gender psychotherapist my commitment to providing compassionate and informed gender affirming care is unwavering A set of personal values does not define this,TransYouth
68,Kate Briquelet,Moms for Liberty Mobbed by Protesters During NYC Town Hall,Kate Briquelet The Daily Beast Moms for Liberty s New York City event drew a large protest from local parents and the LGBTQ community Thursday evening as well as guests including disgraced former Rep George Santos and Rudy Giuliani s son Andrew Protesters f,TransYouth
69,New York Times,Cast as Criminals America s Librarians Rally to Own Defense,Cast as Criminals America s Librarians Rally to Own Defense Second column th story link Drudge Report Feed needs your support Become a Patron,TransYouth
70,Kate Anderson,Red State Senate Kills Gov s Veto On Bill Banning Child Sex Changes,The Ohio Senate voted Wednesday to override Gov Mike DeWine s veto of a bill that would prohibit doctors from performing sex change medical procedures on minors,TransYouth
71,Sarah Parshall Perry,DeWine s Executive Order on Trans Surgeries Missed Mark A Veto Override Would Be Right on Target,Republican Ohio Gov Mike DeWine recently rattled the GOP when he vetoed HB the Saving Adolescents from Experimentation SAFE Act The bill would have Read More The post DeWine s Executive Order on Trans Surgeries Missed Mark A Veto Override Would Be,TransYouth
72,Tim Teeman,Trans Veterans File Lawsuit Against VA Over Gender Confirmation Surgery,Photo Illustration by Kelly Caminero The Daily Beast Getty The VA U S Department of Veteran Affairs is facing a lawsuit over its delay in providing gender confirmation surgery for transgender veterans The filing of the lawsuit Thursday by the Transge,TransYouth
73,Tamal Kundu,Will There Be a Sort Of Season Release Date Is It Coming Out,Created by Bilal Baig and Fab Filippo CBC Television and HBO Max s Sort Of revolves around Sabi Mehboob a non binary millennial and the child of Pakistani immigrants as they deal with life s various challenges Season of the Canadian sitcom began airing o,TransYouth
74,Trudy Ring,Alabama can enforce law criminalizing gender affirming care court rules,Alabama s ban on gender affirming care for trans minors which criminalizes health care providers who violate the law can be enforced while a lawsuit against it proceeds a federal appeals court ruled Thursday,TransYouth
75,Zane McNeill,Texas AG Demands Medical Records of Trans Youth From Out of State Clinic,Republicans are attempting to investigate and potentially arrest people across state lines one trans activist said,TransYouth
76,Erin Reed,Maine Could Become th State to Pass Transgender Refuge Law,State lawmakers may soon pass a bill that would make Maine a safe haven for trans people fleeing hostile states,TransYouth
77,Victor Nava,Ohio House overrides GOP Gov Mike DeWine s veto of ban on gender changing services for minors,The Ohio House of Representatives on Wednesday voted to override Republican Gov Mike DeWine s veto of legislation that would have outlawed gender changing services for minors and barred transgender athletes from participating in women s sports DeWine vetoe,TransYouth
78,Tori Otten,Georgia GOP Women s Rights Bill Is Exactly What You d Expect or Worse,Georgia Republicans have introduced a bill they have dubbed the Women s Bill of Rights But in reality the measure would expose women both cis and transgender to increased violence and discrimination House Bill was introduced Friday by a group of,TransYouth
79,Laura Harris,Parents rally against Planned Parenthood and California school district for trying to infringe on their parental rights and pushing WOKE ideologies onto students,A group of about parents gathered in Fontana California to protest against Planned Parenthood and the Fontana Unified School District for allegedly engaging in secret gender transitions involving students The Leave Our Kids Alone rally organized b,TransYouth
80,Joshua Wolens,Jennell Jaquays legendary designer who shaped both tabletop and videogames has died,Jaquays helped shape tabletop games almost from the start before working on some bonafide legends of videogame history,TransYouth
81,Megan Brock,EXCLUSIVE Top Trans Pediatric Doctors Admit In Unearthed Video That Puberty Blockers Aren t As Reversible As Advertised,Prominent World Professional Association for Transgender Health WPATH physicians acknowledged that puberty blockers are more invasive than portrayed in the media and can have irreversible effects on minors such as infertility bone loss and disruption of br,TransYouth
82,News Editors,Another gender confused teenage mass shooter kills child injures Pushing gender madness on our nation s children is creating murderers and suicidal teens,Once again we see a young mass shooter who is gender confused making this the fifth in a little over five years where a non binary transgender or others part of the LGBT community has become a mass shooter Article by Susan Duclos republished from AllNew,TransYouth
83,Trudy Ring,Biden administration creates k grant to create inclusive sex ed for trans male teens,Transgender teen boys and nonbinary youth who were assigned female at birth are at least as likely as cisgender girls to become pregnant but they don t always receive appropriate sex education A health organization is looking to change that with help from,TransYouth
84,None,Ohio bans gender affirming care for minors over GOP governor s veto,The new Ohio law bans gender affirming surgeries and hormone therapies and restricts mental health care for transgender individuals under,TransYouth
85,Trudy Ring,How Ohio Gov Mike DeWine is making gender affirming care inaccessible,Ohio Gov Mike DeWine s plan to restrict gender affirming care for both youth and adults amounts to an outright ban activists say,TransYouth
86,Doktor Zoom,Jesus Christ Just Leave Trans People Alone,Americans getting damn sick of all of it,TransYouth
87,Joseph MacKinnon,Parental rights advocates secure victory in Maine with death of transgender trafficking bill,The Maine House of Representatives Judiciary Committee was poised Thursday to advance a bill that threatened to allow the state to seize custody of children whose parents refused them sex change mutilations and other irreversible medical interventions It wa,TransYouth
88,Mary Rooke,ROOKE American Parents Stood Up To The Trans Cult And Won Big,LD died in committee on Thursday after all twelve state Senate Judiciary Committee members voted against sending it to the floor for a full vote,TransYouth
89,Toussaint Egan,Wonka The Beekeeper and every new movie to watch at home this weekend,Wonka comes to VOD this week along with David Ayer s The Beekeeper the streaming debut of Past Lives and more,TransYouth
90,Tess Owen Josh Visser,Republican Wants Schools to Call Animal Control on Furry Students,A lawmaker in Oklahoma wants to bar furry students from school activities,TransYouth
91,Ryan Adamczeski,Gender dysphoria diagnoses are steadily increasing Here s what that means,Gender dysphoria diagnoses in the United States increased in all but one state in recent years suggesting that a growing number of transgender people are seeking health care,TransYouth
92,Chris Walker,Trans Kids and Their Families Sue to Block Louisiana Gender Affirming Care Ban,The families allege that the newly enacted state law violates their constitutional right to privacy,TransYouth
93,Holly Ramer,N H lawmakers consider multiple bills targeting transgender students and athletes,At least states have approved a version of a blanket ban on transgender athletes playing on K and collegiate sports teams,TransYouth
94,Jennifer Bowers Bahney,JUST IN Ohio Legislature Bans Gender Affirming Care Overriding Republican Governor s Veto,Ohio s transgender children will be unable to obtain gender affirming medical care now that the Ohio Senate has voted to override Gov Mike DeWine s veto The post JUST IN Ohio Legislature Bans Gender Affirming Care Overriding Republican Governor s Veto fi,TransYouth
95,SAMANTHA HENDRICKSON,Ohio bans gender affirming care and restricts transgender athletes despite GOP governor s veto,Ohio has banned gender affirming care for minors and restricted transgender women s and girls participation on sports teams a move that has families of transgender children scrambling over how best to care for them,TransYouth
96,Christopher Dietzel Alexa Dodge Kaitlynn Mendes Nikita Kalwani Suzie Dunn,Researchers Canadian schools need to address digital sexual violence in their curricula and policies,Technology facilitated sexual violence TFSV is on the rise among Canadian youth In an international study that included Canada over half of the young women and girls surveyed reported being sexually threatened and or sexually harassed online This kind of,TransYouth
97,Ali Rees,Last Of Us Part II synopsis Plot details and storyline,The Last of Us Part II picks up four years after the end of the first game Joel and Ellie The post Last Of Us Part II synopsis Plot details and storyline appeared first on ReadWrite,TransYouth
98,Ramon Tomey,President of Canadian LGBT group arrested on PEDOPHILIA charges,The president of an LGBT organization based in Canada s British Columbia province has been arrested on charges related to child sexual abuse North Peace Pride Society NPPS President Sean Gravells a prominent LGBT activist was arrested on Dec T,TransYouth
99,Cecilia Nowell,Rising Malpractice Premiums Price Small Clinics Out of Gender Affirming Care for Minors,Even in states where laws protect minors access to gender affirming care malpractice insurance premiums are keeping small and independent clinics from treating patients,TransYouth
100,By ANDREW DeMILLO and HANNAH SCHOENBAUM AP,Efforts to Restrict Transgender Health Care Endure in,Republican led state legislatures are considering a new round of bills restricting medical care for transgender youths and in some cases adults,LGBTQ_MH
101,Hannah Schoenbaum AP,Utah to Revise Social Media Limits for Youth as Lawsuits Loom,Utah s Republican legislative leaders are prioritizing revisions to new social media youth protection laws to ensure they hold up in court,LGBTQ_MH
102,Jacob Grier,I Regret to Inform You That Marjorie Taylor Greene and Tucker Carlson Are Right About Those Viral Nicotine Pouches,Right wing posters defending the freedom of adults right to use Zyn have the better of the argument,LGBTQ_MH
103,Jessica L Schleider Ph D,The Status Quo Will Never Solve the Youth Mental Health Crisis,Single session interventions can bridge major gaps in youth mental health care,LGBTQ_MH
104,Group for the Advancement of Psychiatry,The Role of Mental Health Professionals in Human Rights,In a world deeply suffering mental health professionals play a crucial part in protecting human rights,LGBTQ_MH
105,Audra Heinrichs,Stormy Daniels Says Straights Can Learn a Few Things From For the Love of DILFS,I m truly running out of creative ways to piss conservatives off Stormy Daniels tells audiences within the first two minutes of the premiere of For the Love of DILFS a reality dating show for you guessed it DILFs but also the men they d like to date wh,LGBTQ_MH
106,Spencer Macnaughton,Religious trauma still haunts millions of LGBTQ Americans,Some mental health experts argue that putting religious trauma in the DSM would give it more credibility to medical professionals and help LGBTQ Americans,LGBTQ_MH
107,Christine Zhu and Eric Bazail Eimil,Ohio House overrides DeWine s veto of bill banning gender affirming care,The state Senate will convene later in January,LGBTQ_MH
108,Science X,Sexual minority young people in Canada more likely to experience harmful police contact finds study,While there has been much public scrutiny and research on police interactions and violence towards sexual minorities in the United States there is a gap in the current literature on how sexual minorities fare with law enforcement contact in Canada,LGBTQ_MH
109,Dan Girolamo,movies leaving Netflix in January you have to watch now,These are the five movies leaving Netflix at the end of January you need to watch Our picks include Forgetting Sarah Marshall and Call Me by Your Name,LGBTQ_MH
110,Jonathan Rauch,America s Long Campaign to Erase Gay People Is Itself Being Forgotten,And it s being repeated,LGBTQ_MH
111,Rebecca Kern,Snapchat breaks ranks to support kids safety bill,It s the first social media company to break from its trade group and support a bipartisan bill that s meant to bolster protections for children online,LGBTQ_MH
112,Ian Millhiser,The Supreme Court is running away from transgender rights cases,For the third time in the last year the Supreme Court turned away an opportunity to make life much worse for trans youth,LGBTQ_MH
113,Caroline Mimbs Nyce,Faulty Design Is the Next Big Social Media Battleground,Lawyers may not be able to hold Snap and Meta accountable for the content that users post so they re trying something else,LGBTQ_MH
114,Brian Fagioli,NYC declares Social Media a public health hazard Dr Ashwin Vasan s bold move to protect youth mental health,In a groundbreaking announcement New York City s Department of Health and Mental Hygiene Commissioner Dr Ashwin Vasan has issued a Health Commissioner s Advisory paralleling past actions taken against tobacco and firearms This advisory identifies the un,LGBTQ_MH
115,Lipi Roy MD MPH Contributor Lipi Roy MD MPH Contributor https www forbes com sites lipiroy,Human Trafficking Prevention Needs A Public Health Approach,January th is National Human Trafficking Awareness Day and January is Human Trafficking Prevention Month As a doctor I know this is a major public health issue,LGBTQ_MH
116,Stephanie Gravalese Contributor Stephanie Gravalese Contributor https www forbes com sites stephaniegravalese,Karamo Brown On Mindful Mixology And The Art Of Self Care,As Chambord ambassador Brown reaches beyond mixology using his platform to advocate for balance and self care,LGBTQ_MH
117,Leonie Mattison Forbes Councils Member Leonie Mattison Forbes Councils Member https www forbes com sites forbesbusinesscouncil people leoniemattison,A Depth Psychological Approach To Transforming Higher Education,Using evidence based approaches I call on others in this space to focus on creating an environment of inclusivity cultural competency and individuation,LGBTQ_MH
118,Megan McCluskey,How Sarah J Maas Built a Sprawling Fantasy Multiverse,With the release of her new book House of Flame and Shadow the ultra successful romantasy author embarks on a massive new chapter,LGBTQ_MH
119,Trudy Ring,LGBTQ Iowans feel threatened by Republican candidates stances,As Iowans got ready to vote in the Republican presidential caucus LGBTQ residents expressed concern about the homophobic and transphobic views of the candidates,LGBTQ_MH
120,Rachel Epstein,How I Finally Found the Right Therapist,One guy shares how he was able to find the right therapist after some trial and error and the steps he took to find the best mental health provider for him,LGBTQ_MH
121,Associated Press,Ohio is on the verge of becoming the nd state to restrict gender affirming care for adults,Ohio Gov Mike DeWine announced proposals that transgender advocates say could leave thousands of trans adults scrambling for treatment,LGBTQ_MH
122,Brandon Poulter,World Health Org s Trans Advisory Group Is Chock Full Of LGBTQ Activists,The World Health Organization WHO announced the development of guidelines for the health of trans and quot gender diverse quot people and staffed the advisory group,LGBTQ_MH
123,Joseph MacKinnon,Maine Democrats push bill that would allow state to seize kids from parents preventing them from getting sex change surgeries,Democrats in Maine are poised to advance legislation that would grant the state emergency jurisdiction over children whose parents refuse to subject them to sex change mutilations and other confusion affirming medical interventions Additionally it would pre,LGBTQ_MH
124,News Editors,AP frames LGBTQ school shooter as a victim,The Associated Press published an article Thursday claiming that the latest school shooter was a victim of bullying Article by Steve Watson republished from Modernity news Yes really The shooting at Perry High School in Iowa claimed the life of a sixth gr,LGBTQ_MH
125,Alex Reimer,What s going on with Carl Nassib his Olympic boyfriend,Nassib and S ren Dahl are suddenly scrubbed from each other s Instagrams,LGBTQ_MH
126,Christopher Dietzel Alexa Dodge Kaitlynn Mendes Nikita Kalwani Suzie Dunn,Researchers Canadian schools need to address digital sexual violence in their curricula and policies,Technology facilitated sexual violence TFSV is on the rise among Canadian youth In an international study that included Canada over half of the young women and girls surveyed reported being sexually threatened and or sexually harassed online This kind of,LGBTQ_MH
127,Christopher Wiggins,West Virginia Republicans want to ban transgender people from public spaces call them obscene,Republicans in West Virginia have upped the hostility among those on the right toward transgender people There the LGBTQ community is currently grappling with significant legislative challenges that have the potential to impact the rights and lives of tran,LGBTQ_MH
128,Julie Kratz Contributor Julie Kratz Contributor https www forbes com sites juliekratz,It s Not Too Late To Start Employee Resource Groups,ERGs are a powerful component of DEI Without them there are fewer safe places for people from marginalized groups to be themselves and seek community,LGBTQ_MH
129,Chris Walker,DeWine Orders Ohio to Create New Rules Restricting Gender Affirming Care,DeWine s orders make it practically impossible for trans people to get gender affirming care one LGBTQ activist said,LGBTQ_MH
130,Jacob Ogles,Florida Republican lawmaker proposes law erasing transgender identities,Beyond the discriminatory nature of the bill LGBTQ advocates say the legislation threatens the ability to even document violence against the community,LGBTQ_MH
131,Joseph MacKinnon,Parental rights advocates secure victory in Maine with death of transgender trafficking bill,The Maine House of Representatives Judiciary Committee was poised Thursday to advance a bill that threatened to allow the state to seize custody of children whose parents refused them sex change mutilations and other irreversible medical interventions It wa,LGBTQ_MH
